Distance_(mm),Gray_Value
0.000000,22.067
0.004712,22.067
0.009424,22.084
0.014136,22.084
0.018848,21.484
0.023560,21.484
0.028272,21.107
0.032984,21.107
0.037696,21.147
0.042408,21.147
0.047120,22.040
0.051833,22.040
0.056545,23.053
0.061257,23.053
0.065969,22.791
0.070681,22.791
0.075393,21.053
0.080105,21.053
0.084817,20.084
0.089529,20.084
0.094241,20.529
0.098953,20.529
0.103665,21.622
0.108377,21.622
0.113089,24.511
0.117801,26.809
0.122513,27.649
0.127225,33.036
0.131937,26.556
0.136649,25.658
0.141361,20.627
0.146073,20.627
0.150785,16.769
0.155498,16.769
0.160210,16.329
0.164922,16.329
0.169634,18.671
0.174346,33.138
0.179058,69.880
0.183770,100.373
0.188482,101.284
0.193194,113.373
0.197906,94.111
0.202618,79.738
0.207330,35.329
0.212042,25.716
0.216754,23.382
0.221466,23.382
0.226178,21.609
0.230890,21.609
0.235602,24.502
0.240314,63.480
0.245026,110.004
0.249738,145.964
0.254451,148.707
0.259163,151.533
0.263875,148.991
0.268587,149.324
0.273299,114.684
0.278011,71.493
0.282723,32.178
0.287435,17.213
0.292147,20.253
0.296859,20.253
0.301571,25.636
0.306283,46.036
0.310995,85.431
0.315707,123.698
0.320419,127.724
0.325131,138.111
0.329843,130.800
0.334555,129.778
0.339267,89.191
0.343979,51.533
0.348691,15.600
0.353404,8.778
0.358116,8.569
0.362828,8.569
0.367540,11.844
0.372252,23.427
0.376964,57.044
0.381676,82.342
0.386388,73.698
0.391100,76.516
0.395812,34.156
0.400524,24.476
0.405236,22.564
0.409948,22.564
0.414660,21.898
0.419372,21.898
0.424084,20.956
0.428796,36.751
0.433508,84.884
0.438220,126.427
0.442932,136.009
0.447644,144.711
0.452356,138.920
0.457069,138.151
0.461781,95.871
0.466493,53.489
0.471205,22.933
0.475917,22.502
0.480629,23.124
0.485341,23.124
0.490053,20.996
0.494765,21.031
0.499477,34.600
0.504189,79.942
0.508901,88.369
0.513613,103.698
0.518325,85.849
0.523037,72.871
0.527749,29.982
0.532461,12.413
0.537173,11.933
0.541885,11.933
0.546597,15.004
0.551309,15.076
0.556022,36.853
0.560734,74.782
0.565446,96.089
0.570158,119.529
0.574870,107.813
0.579582,117.293
0.584294,79.280
0.589006,49.422
0.593718,19.396
0.598430,17.907
0.603142,14.044
0.607854,14.044
0.612566,21.271
0.617278,46.449
0.621990,96.604
0.626702,129.636
0.631414,140.111
0.636126,146.689
0.640838,136.680
0.645550,132.218
0.650262,87.813
0.654975,45.493
0.659687,25.289
0.664399,25.218
0.669111,25.133
0.673823,25.133
0.678535,24.662
0.683247,30.080
0.687959,67.160
0.692671,110.671
0.697383,118.467
0.702095,131.596
0.706807,114.084
0.711519,106.822
0.716231,58.133
0.720943,24.649
0.725655,19.644
0.730367,19.644
0.735079,20.364
0.739791,20.364
0.744503,22.529
0.749215,22.529
0.753927,34.707
0.758640,63.329
0.763352,61.196
0.768064,68.716
0.772776,44.738
0.777488,30.196
0.782200,21.147
0.786912,21.147
0.791624,19.511
0.796336,19.511
0.801048,19.396
0.805760,19.396
0.810472,21.662
0.815184,21.698
0.819896,24.636
0.824608,26.960
0.829320,24.956
0.834032,24.320
0.838744,22.702
0.843456,22.702
0.848168,20.684
0.852880,20.684
0.857593,20.040
0.862305,20.040
0.867017,20.582
0.871729,20.582
0.876441,22.031
0.881153,22.031
0.885865,22.204
0.890577,22.204
0.895289,21.227
0.900001,21.227
0.904713,21.053
0.909425,21.053
0.914137,21.058
0.918849,21.058
0.923561,21.871
0.928273,21.871
